,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,HalfYearChange,X..Stock...Price..180.Days...After...Offer,market_performance,VIX_before,OneDayChange,FirstDayClose
11,12/31/09,3/15/10,Financial Engines Inc,Pvd invest mgmt svcs,United States,FNGN,127.2,127.2,12,Common Shares,Yes,"Amerindo Investment Advisors Inc
Foundation Capital LLC
HLM Management Co LLC
CROPS Inc (Pre-Reincorporation)
New Enterprise Associates Inc
Undisclosed Firm
Oak Investment Partners
Undisclosed Firm
Amerindo Investment Advisors Inc
Foundation Capital LLC
Chase Manhattan Capital Corp
Arrowpath Venture Capital
Goldman Sachs & Co LLC
Merrill Lynch Capital Partners  Inc
Wells Fargo Capital Markets Inc
New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
Oak Hill Capital Management LLC
New Enterprise Associates Inc
Foundation Capital LLC
New Enterprise Associates Inc
Thales Corporate Ventures SAS
Charter Venture Capital
PIVOTAL ASSET MANAGEMENT L L C
Undisclosed Firm
CROPS Inc (Pre-Reincorporation)
American International Group Inc
Pliant Corp
Intel Capital Corp
Tailwind Capital Group LLC
Oak Hill Capital Management LLC
Hellman & Friedman LLC
Thales Corporate Ventures SAS
Financial Technology Ventures
New Enterprise Associates Inc
Foundation Capital LLC
Charter Venture Capital
New Enterprise Associates Inc
New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
Charter Venture Capital
Financial Technology Ventures
Foundation Capital LLC
Goldman Sachs & Co LLC",Goldman Sachs,1,"139,600.0",NA,71.271,85,22.52,78.2,5.69,6.69%,8.06,52,13.80%,15.75,13.89,0.052396575,18,43.75%,17.25
12,12/31/09,3/23/10,MaxLinear Inc,Pvd semiconductor solutions,United States,MXL,90.217,90.2,14,Common Shares,Yes,"Undisclosed Firm
U.S. Venture Partners
U.S. Venture Partners
Mission Ventures Inc",Morgan Stanley,1,"33,000.0",NA,9.696,31.33,NA,20.67,-1.91,-6.10%,0.27,79,0.27%,-12.07,12.31,0.056225259,16.35,30.71%,18.3
13,12/31/09,3/24/10,Calix Inc,Pvd broadband commun svcs,United States,CALX,82.276,82.3,13,Common Shares,Yes,"Foundation Capital LLC
Credit Suisse Group AG
Undisclosed Firm
Riverwood Capital Group LLC
Menlo Ventures
TeleSoft Partners
Foundation Capital LLC
Contrarian Capital Management LLC
Integral Capital Partners
Menlo Ventures
Riverwood Capital Group LLC
Kinetic Ventures LLC
Sprout Group
St Paul Venture Capital Inc
Azure Capital Partners, L.P.
Technoplus Ventures Ltd
TeleSoft Partners
Kinetic Ventures LLC
Kinetic Ventures LLC
Redpoint Ventures
Redpoint Ventures
Redpoint Ventures
TeleSoft Partners
Meritech Capital Partners
Redpoint Ventures
Redpoint Ventures
Redpoint Ventures
TeleSoft Partners
Contrarian Capital Management LLC
Azure Capital Partners, L.P.
Azure Capital Partners, L.P.
Meritech Capital Partners
Meritech Capital Partners
Meritech Capital Partners",Goldman Sachs,3,"272,505.8",NA,193.819,250.46,31.63,91.97,-12.92,-5.16%,21,68,2.74%,-4.08,12.47,0.051097443,17.549999,9.62%,14.25
14,4/2/10,4/21/10,DynaVox Inc,Pvd speech generating tech,United States,DVOX,140.625,140.6,15,Class A Shares,Yes,Vestar Capital Partners LLC,Piper Jaffray,3,,NA,81.438,91.2,28.15,47.36,8.84,9.69%,79.54,17,57.18%,-62.33,5.65,0.034908724,16.32,0.00%,15
15,3/31/10,5/13/10,TeleNav Inc,"Mnfr search,detection equip",United States,TNAV,56,56,8,Common Shares,Yes,"Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Sycamore Ventures Inc
iGlobe Partners Ltd
Lehman Brothers Venture Partners LP
Menlo Ventures
Sycamore Ventures Inc
iGlobe Partners Ltd",JP Morgan,1,"37,999.0",NA,48.065,110.88,16.54,48.34,29.62,26.71%,0,6,0.00%,-14.88,6.81,-0.03204543,26.68,15.00%,9.2
16,3/31/10,5/19/10,ReachLocal Inc,Pvd online marketing services,United States,RLOC,54.167,54.2,13,Common Shares,Yes,"Galleon Group
Global Founders Capital Management GmbH
Global Founders Capital Management GmbH
Rho Capital Partners Inc
Rho Capital Partners Inc
Vantagepoint Management Inc
Vantagepoint Management Inc
Undisclosed Firm
Rho Capital Partners Inc
Vantagepoint Management Inc
Vantagepoint Management Inc
Undisclosed Firm",JP Morgan,1,"77,718.1",NA,68.356,146.69,61.05,76.12,-7,-4.77%,0,5,0.00%,52.38,19.81,-0.067189685,35.32,0.00%,13
17,3/31/10,6/16/10,BroadSoft Inc,Dvlp telecommun software,United States,BSFT,67.5,67.5,9,Common Shares,Yes,"Charles River Ventures LLC
Crescendo Venture Management LLP
Charles River Ventures LLC
Bessemer Venture Partners
Undisclosed Firm
Rre Ventures LLC
Grotech Ventures
Columbia Capital LP
Undisclosed Firm
Meritech Capital Partners
Charles River Ventures LLC
Bessemer Venture Partners
Columbia Capital LP
Crescendo Venture Management LLP
Grotech Ventures
Undisclosed Firm
Grotech Ventures
Bessemer Venture Partners
Crescendo Venture Management LLP
Undisclosed Firm
Bessemer Venture Partners
Columbia Capital LP
Crescendo Venture Management LLP
Windspeed Ventures
Bessemer Venture Partners
Bessemer Venture Partners
Rre Ventures LLC
Crescendo Venture Management LLP
Columbia Capital LP
Grotech Ventures
Rre Ventures LLC
Accel Partners & Co Inc
Argo Global Capital, Inc.
Scale Venture Partners
Vanguard Ventures, Inc.
Undisclosed Firm
Grotech Ventures
Bessemer Venture Partners
Columbia Capital LP
Bessemer Venture Partners
Charles River Ventures LLC
Columbia Capital LP
Charles River Ventures LLC
Crescendo Venture Management LLP
Meritech Capital Partners
Mayfield Fund LLC
Comcast Ventures
Undisclosed Firm",Goldman Sachs,1,"80,000.2",NA,61.829,68.887,28.53,56.56,-7.85,-20.69%,18.67,64,27.34%,187.11,25.84,-0.017463783,25.92,-7.78%,8.3
18,6/30/10,7/15/10,Qlik Technologies Inc,Dvlp software solutions,United States,QLIK,112,112,10,Common Shares,Yes,"JVP Jerusalem Venture Partners Israel Management Ltd
Undisclosed Firm
Thoma Bravo LLC
Thoma Bravo LLC
Undisclosed Firm
Undisclosed Firm
Thoma Bravo LLC
Thoma Bravo LLC
Accel Partners & Co Inc",Morgan Stanley,2,"12,500.0",NA,118.264,157.359,93.35,127.09,6.86,6.87%,3.78,80,3.80%,157.9,25.79,-0.020714286,25.139999,28.00%,12.8
19,6/30/10,7/21/10,Green Dot Corp,Pvd prepaid debit cards svcs,United States,GDOT,164.09,164.1,36,Class A Shares,Yes,"Fairmont Capital Inc
Sequoia Capital Operations LLC
Undisclosed Firm
TTV Capital LLC
Tech Coast Angels Inc
Sequoia Capital Operations LLC
TTV Capital LLC
Tech Coast Angels Inc
GE Commercial Finance - Equity
Undisclosed Firm
TTV Capital LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Technology Crossover Ventures LP
TTV Capital LLC
TTV Capital LLC",JP Morgan,1,"79,922.7",NA,168.126,234.82,75.79,171.15,37.16,15.82%,0,24,0.00%,71.19,61.63,-0.038955245,25.639999,22.19%,43.990002
20,6/30/10,8/11/10,RealPage Inc,Dvlp property mgmt software,United States,RP,135.3,135.3,11,Common Shares,Yes,"Apax Partners LLP
Undisclosed Firm
Apax Partners LLP
Camden Partners Holdings LLC
Leeds Equity Advisors Inc
Leeds Equity Advisors Inc
Apax Partners LLP
Apax Partners LLP
Camden Partners Holdings LLC
Camden Partners Holdings LLC
Seren Capital Ltd
Leeds Equity Advisors Inc
Camden Partners Holdings LLC
Camden Partners Holdings LLC",Credit Suisse,1,"47,923.0",NA,112.568,140.9,27.8,75.46,28.43,20.18%,61.86,18,43.53%,149.64,27.46,0.011756031,25.389999,32.00%,14.52
21,9/30/10,11/10/10,Inphi Corp,"Mnfr,whl semiconductors",United States,IPHI,81.6,81.6,12,Common Shares,Yes,"Undisclosed Firm
KeyNote Ventures LLC
Mayfield Fund LLC
Tallwood Venture Capital
Mayfield Fund LLC
Tallwood Venture Capital
Flex Ltd
Walden International
Undisclosed Firm
Mayfield Fund LLC
Tallwood Venture Capital
Walden International
Tallwood Venture Capital
Mayfield Fund LLC
Mayfield Fund LLC
Mayfield Fund LLC
Flex Ltd
Walden International
Undisclosed Firm
Mayfield Fund LLC
Tallwood Venture Capital
Mayfield Fund LLC
Walden International
Undisclosed Firm
Tallwood Venture Capital
Flex Ltd
Undisclosed Firm
Mayfield Fund LLC",Morgan Stanley,2,"80,354.1",NA,42.954,58.85,7.7,29.5,7.33,12.46%,0,54,0.00%,70.33,20.44,0.046720925,18.469999,22.75%,14.73
22,12/31/09,12/14/10,FleetCor Technologies Inc,Provide card payment services,United States,FLT,291.525,291.5,23,Common Shares,Yes,"Summit Partners LP
HarbourVest Partners LLC
Intel Capital Corp
Summit Partners LP
Summit Partners LP
Summit Partners LP
HarbourVest Partners LLC
Advent International Corp
Summit Partners LP
Bain Capital LP
Performance Equity Management LLC
Eastman Kodak Co
Advent International Corp
Advantage Capital Partners
Nautic Partners LLC
Summit Partners LP
Advantage Capital Partners
Advantage Capital Partners
Advantage Capital Partners
Nautic Partners LLC
Performance Equity Management LLC
Advantage Capital Partners
Advantage Capital Partners
Summit Partners LP
Summit Partners LP
Summit Partners LP
Summit Partners LP
Undisclosed Firm
Summit Partners LP
Undisclosed Firm
Chestnut Hill Ventures LLC
Bain Capital LP",JP Morgan,3,"240,999.9",NA,256.761,354.1,30.58,208.06,89.05,25.15%,0,3,0.00%,30.48,30.01,0.038656994,17.610001,18.48%,27.25
23,12/31/10,2/1/11,NeoPhotonics Corp,Mnfr integrated circuit,United States,NPTN,82.5,82.5,11,Common Shares,Yes,"Techno Venture Co Ltd
Nth Power LLC
Oak Investment Partners
Crossroads Liquidating Trust
Draper Fisher Jurvetson International Inc
W R Hambrecht & Co L L C
Oak Investment Partners
Ata Ventures
Ata Ventures
Bay Partners
Institutional Venture Partners
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Hydro-Quebec
Rockport Capital Partners
Institutional Venture Partners
SBV Venture Partners
Institutional Venture Partners
Rockport Capital Partners
180 Degree Capital Corp
Bay Partners
Ata Ventures
Technology Partners
Undisclosed Firm
Needham Capital Partners
International Finance Corp
DuPont Ventures
Shanghai Industrial Holdings Ltd
Mitsubishi International Corp
180 Degree Capital Corp
Undisclosed Firm
180 Degree Capital Corp
Bay Partners
Bay Partners
Institutional Venture Partners
Nth Power LLC
Nth Power LLC
SBV Venture Partners
Oak Investment Partners
Draper Fisher Jurvetson International Inc
Ata Ventures
Draper Fisher Jurvetson International Inc
180 Degree Capital Corp
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Rockport Capital Partners
Fountainhead Capital Ltd
Venrock Inc
Rossiiskaia Korporatsiia Nanotekhnologii GK
Siparex Group
SBV Venture Partners
Sands Brothers & Co Ltd
Xr Ventures  LLC
Dow Silicones Corp
Draper Fisher Jurvetson International Inc
East Gate Capital, Inc.
Bay Partners
Bay Partners
Rockport Capital Partners
Rockport Capital Partners
Ata Ventures
Rockport Capital Partners
Undisclosed Firm
Alps Investment Research
SBV Venture Partners
Institutional Venture Partners
Oak Investment Partners
Draper Fisher Jurvetson International Inc
Ventana Capital Management LP
180 Degree Capital Corp
Rockport Capital Partners
Rockport Capital Partners
Draper Fisher Jurvetson International Inc
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Undisclosed Firm",Bank of America,1,"290,017.5",NA,133.989,155.06,9.59,44.67,-6.85,-4.42%,2.11,23,1.22%,-33.27,7.34,0.029043699,17.629999,20.45%,13.25
24,3/31/11,4/14/11,Ellie Mae Inc,Dvlp mortgage mgmt software,United States,ELLI,45,45,6,Common Shares,Yes,"H&Q Asia Pacific, Ltd.
Federal National Mortgage Association
RS Investment Trust
Undisclosed Firm
Alloy Ventures Inc
Alloy Ventures Inc
Alloy Ventures Inc
Leland Stanford Junior University
Charter Venture Capital
Charter Venture Capital
Charter Venture Capital
Charter Venture Capital
Charter Venture Capital
Alta Partners
Alta Partners
Alta Partners
Charter Venture Capital
Osprey Ventures LP
GKM VENTURE PARTNERS L P
Undisclosed Firm
Thoma Bravo LLC
Undisclosed Firm
Thoma Bravo LLC",Goldman Sachs,5,"48,499.9",NA,33.573,37.71,7.53,23.96,1.66,4.40%,0,61,0.00%,-12.67,5.24,0.023335408,16.27,12.83%,6.77
25,3/31/11,4/20/11,Responsys Inc,Dvlp email mktg software,United States,MKTG,79.436,79.4,12,Common Shares,Yes,"Accel Partners & Co Inc
Foundation Capital LLC
Undisclosed Firm
Accel Partners & Co Inc
Foundation Capital LLC
Undisclosed Firm
Accel Partners & Co Inc
Undisclosed Firm
Accel Partners & Co Inc
Foundation Capital LLC
Accel Partners & Co Inc
Undisclosed Firm
Windspeed Ventures
Redpoint Ventures
Sigma Partners
Redpoint Ventures
RSA Capital LLC
Redpoint Ventures
RB Webber and Comapny Inc
Accel Partners & Co Inc
Foundation Capital LLC
Lighthouse Capital Partners  LP
Foundation Capital LLC
Sigma Partners
RB Webber and Comapny Inc",Morgan Stanley,1,"62,400.0",NA,66.643,94.07,20.85,39.67,8.6,9.14%,0,65,0.00%,-8.5,10.98,0.025897956,15.07,28.33%,15.4
26,3/31/11,5/3/11,Boingo Wireless Inc,Pvd wireless Internet svcs,United States,WIFI,77.895,77.9,13.5,Common Shares,Yes,"New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
New Enterprise Associates Inc
Mitsui & Co. Global Investment, Ltd.
Evercore Inc
Sternhill Partners I LP
Red Rock Ventures
Steelpoint Capital Partners LP
New Enterprise Associates Inc
Evercore Inc
New Enterprise Associates Inc
Mitsui & Co. Global Investment, Ltd.
Sternhill Partners I LP
Evercore Inc
Undisclosed Firm",Credit Suisse,3,"99,800.0",NA,56.711,65.72,5.9,63.43,1.42,2.16%,0,13,0.00%,-43.33,7.65,0.018535203,16.700001,-10.37%,12.1
27,3/31/11,5/18/11,LinkedIn Corp,Pvd online networking services,United States,LNKD,352.8,352.8,45,Class A Shares,Yes,"Bessemer Venture Partners
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Greylock Partners LLC
Undisclosed Firm
Global Founders Capital Management GmbH
Greylock Partners LLC
Bain Capital Venture Partners LLC
Sequoia Capital Operations LLC
Bessemer Venture Partners
Undisclosed Firm
Sequoia Capital Operations LLC
Greylock Partners LLC
Greylock Partners LLC
Goldman Sachs & Co LLC
Sapphire Ventures LLC
Mcgraw-Hill Ventures Inc
Sapphire Ventures LLC
Goldman Sachs & Co LLC
Bessemer Venture Partners
Mcgraw-Hill Ventures Inc
Bessemer Venture Partners",Morgan Stanley,2,"235,160.9",NA,120.127,243.1,58.98,223.52,15.39,6.33%,0,30,0.00%,66.36,74.86,0.029105416,16.23,109.44%,94.25
28,3/31/11,5/26/11,Solazyme Inc,"Prod,whl renewable oil",United States,SZYM,197.55,197.6,18,Common Shares,Yes,"New Enterprise Associates Inc
Pelion Venture Partners
Dell Ventures LP
Iron Capital Partners
Sumitomo Corp
Lightspeed Management Company LLC
Pelion Venture Partners
Allegis Capital LLC
Undisclosed Firm
West Coast Venture Capital
New Enterprise Associates Inc
Dell Ventures LP
New Enterprise Associates Inc
Undisclosed Firm
Accel Partners & Co Inc
Pelion Venture Partners
Lightspeed Management Company LLC
Andreessen Horowitz LLC
Undisclosed Firm
New Enterprise Associates Inc
Meritech Capital Partners
Pelion Venture Partners",Morgan Stanley,1,"115,136.1",NA,9.161,37.97,NA,51.65,-16.28,-42.88%,0.18,75,0.21%,-35.06,11.69,-0.013279866,16.09,23.89%,22.3
29,3/31/11,6/8/11,Fusion-io Inc,Dvlp storage memory software,United States,FIO,233.7,233.7,19,Common Shares,Yes,,Goldman Sachs,3,,NA,10.15,36.22,23.39,51.75,-31.72,-87.58%,11.31,74,13.21%,53.79,29.22,-0.04676368,18.790001,18.42%,22.5
30,9/30/11,10/13/11,Ubiquiti Networks Inc,"Mnfr,whl communications equip",United States,UBNT,105.573,105.6,15,Common Shares,Yes,Summit Partners LP,UBS,1,,NA,63.121,136.95,NA,49.87,-5.46,-3.99%,0,10,0.00%,116.13,32.42,0.023526449,30.700001,16.67%,17.5
31,09/30/11,11/03/11,Groupon Inc,Pvd online mktg svcs,United States,GRPN,700.0,700.0,20.0,Class A Shares,Yes,"Tiger Global Management LLC
Undisclosed Firm
Undisclosed Firm
New Enterprise Associates Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Mail.Ru Group Ltd
Andreessen Horowitz LLC
Kleiner Perkins
Silver Lake Partners LP
Maveron LLC
Battery Ventures LP
Battery Ventures LP
New Enterprise Associates Inc
Greylock Partners LLC
Maverick Capital Ltd
Technology Crossover Ventures LP
Greylock Partners LLC
Kleiner Perkins
Silver Lake Partners LP
Maveron LLC
Accel Partners & Co Inc
Undisclosed Firm
Andreessen Horowitz LLC
Maverick Capital Ltd
Technology Crossover Ventures LP
New Enterprise Associates Inc
Accel Partners & Co Inc
New Enterprise Associates Inc
Battery Ventures LP
Undisclosed Firm
New Enterprise Associates Inc
Battery Ventures LP
New Enterprise Associates Inc
Undisclosed Firm
Accel Partners & Co Inc
Undisclosed Firm
Accel Partners & Co Inc
New Enterprise Associates Inc
Maveron LLC",,,"322,372.9",,,,,,,,,,,,,,,,
32,3/28/10,11/15/11,InvenSense Inc,Dvlp motion sensing software,United States,INVN,75,75,7.5,Common Shares,Yes,"Artiman Management LLC
Partech Partners
SkyLake Investment & Co
Undisclosed Firm
Undisclosed Firm
Partech Partners
Artiman Management LLC
Qualcomm Ventures
Partech Partners
Sierra Ventures Management LLC
Shasta Ventures LP
Artiman Management LLC
Artiman Management LLC
VentureTech Alliance Holdings LLC
Partech Partners
Qualcomm Ventures
Sierra Ventures Management LLC
DOCOMO Innovations Inc",Goldman Sachs,1,"53,000.4",NA,79.556,96.55,NA,31.42,9.35,9.68%,0.02,50,0.04%,53.07,11.48,0.048656732,31.219999,18.67%,8.9
