"Date
of
Finan-
cial
Period
Before
Offer","Issue
Date",Issuer,Business Description,Nation,"Ticker
Symbol","Primary
Exchange
Where
Issuer's
Stock
Trades","Principal
Amount
($ mil)","Proceeds
Amt - in 
this Mkt
($ mil)","   Offer
   Price","Type
of
Security","Amt Filed - 
in this Mkt 
($ mil)","IPO
Flag
(Y/N)","Total Revenues
Before Offering
(US$ mil)",Net Income,Net Income Margin,Selling and Marketing,Total Operating Expenses,Long-Term Debt,"  Total
  Assets
  Before
   the
 Offering
  ($ mil)","Market
Value
Before
Offer
($ mil)"," Market
 Value
  Pro
 Forma
 Offer
($ mil)","   Book
  Value
   Per
  Share","IPO:
Offer
Date","IPO
Flag
(Y/N)","% Change
Stock
Price
180 Days
After
Offer","  Stock
  Price
 180 Days
  After
  Offer"
12/31/09,2/2/10,Ironwood Pharmaceuticals Inc,Mnfr pharmaceutical products,United States,IRWD,Nasdaq,187.5,187.5,11.25,Class A Shares,172.5,Yes,36.1,,0.0%,,,,162.5,880.3,"1,095.90",1.91,2/2/10,Yes,-1.16,11.12
6/30/09,2/10/10,QuinStreet Inc,Pvd online marketing services,United States,QNST,Nasdaq,150,150,15,Common Shares,250,Yes,260.5,,0.0%,,,,211.4,523.7,673.7,6.24,2/10/10,Yes,-29.13,10.63
12/31/09,3/11/10,AVEO Pharmaceuticals Inc,"Mnfr,dvlp pharmaceutical prod",United States,AVEO,Nasdaq,81,81,9,Common Shares,86.3,Yes,20.7,,0.0%,,,,133.9,185.8,266.8,1.56,3/11/10,Yes,-2.78,8.75
12/31/09,3/15/10,Financial Engines Inc,Pvd invest mgmt svcs,United States,FNGN,Nasdaq,127.2,127.2,12,Common Shares,100,Yes,85,,0.0%,,,,58.4,346.9,474.1,2.73,3/15/10,Yes,15.75,13.89
12/31/09,3/23/10,MaxLinear Inc,Pvd semiconductor solutions,United States,MXI,New York,90.217,90.2,14,Common Shares,100,Yes,51.4,,0.0%,,,,99,353.7,425.8,2.99,3/23/10,Yes,-12.07,12.31
12/31/09,3/24/10,Calix Inc,Pvd broadband commun svcs,United States,CALX,New York,82.276,82.3,13,Common Shares,100,Yes,232.9,,0.0%,,,,767.1,389.6,471.9,4.97,3/24/10,Yes,-4.08,12.47
3/31/10,4/9/10,Tengion Inc,Mnfr replacement organs,United States,TNGN,Nasdaq,30,30,5,Common Shares,40.3,Yes,,,#DIV/0!,,,,27.1,86.8,61.8,1.88,4/9/10,Yes,-41,2.95
3/31/10,4/21/10,Codexis Inc,Biotechnology company,United States,CDXS,Nasdaq,78,78,13,Common Shares,100,Yes,,,#DIV/0!,,,,83.8,363.7,441.7,3.07,4/21/10,Yes,-23.15,9.99
4/2/10,4/21/10,DynaVox Inc,Pvd speech generating tech,United States,DVOX,Nasdaq,140.625,140.6,15,Class A Shares,125,Yes,91.2,8.8,9.6%,28.2,47.4,,139.1,,140.6,2.83,4/21/10,Yes,-62.33,5.65
3/31/10,4/22/10,Alimera Sciences Inc,Mnfr pharm,United States,ALIM,Nasdaq,72.05,72.1,11,Common Shares,80,Yes,,,#DIV/0!,,,,16.3,269.5,341.6,1.81,4/22/10,Yes,-3.27,10.64
3/31/10,4/22/10,SPS Commerce Inc,Provide software solutions,United States,SPSC,Nasdaq,49.16,49.2,12,Common Shares,46,Yes,39.5,,0.0%,,,,22.9,81.9,131.1,3.72,4/22/10,Yes,9.08,13.09
3/31/10,5/11/10,Integrated Memory Logic Ltd,"Mnfr,whl LCD prod",United States,3638,Taiwan,40.703,40.7,143,Ord/Common Shs.,37.8,Yes,,,#DIV/0!,,,,"1,800.40",271.5,312.2,44.97,,Yes,-23.776,3.61
3/31/10,5/13/10,TeleNav Inc,"Mnfr search,detection equip",United States,TNAV,Nasdaq,56,56,8,Common Shares,75,Yes,155.9,,0.0%,,,,110.1,284.7,328.7,3.63,5/13/10,Yes,-14.88,6.81
3/31/10,5/19/10,Accretive Health Inc,Pvd mgmt svcs,United States,AH,New York,120,120,12,Common Shares,200,Yes,,,#DIV/0!,,,,87.3,"1,000.20","1,080.20",1.23,5/19/10,Yes,-19.08,9.71
3/31/10,5/19/10,ReachLocal Inc,Pvd online marketing services,United States,RLOC,Nasdaq,54.167,54.2,13,Common Shares,100,Yes,,,#DIV/0!,,,,101.5,309.7,352.8,3.06,5/19/10,Yes,52.38,19.81
3/31/10,6/16/10,BroadSoft Inc,Dvlp telecommun software,United States,BSFT,Nasdaq,67.5,67.5,9,Common Shares,103.5,Yes,,,#DIV/0!,,,,68.3,155,222.5,1.15,6/16/10,Yes,187.11,25.84
6/30/10,7/15/10,Qlik Technologies Inc,Dvlp software solutions,United States,QLIK,Nasdaq,112,112,10,Common Shares,100,Yes,,,,,,,99.4,637.6,749.6,1.92,7/15/10,Yes,157.9,25.79
6/30/10,7/21/10,Green Dot Corp,Pvd prepaid debit cards svcs,United States,GDOT,New York,164.09,164.1,36,Class A Shares,150,Yes,294.3,,,,,,192.9,243.6,243.6,17.8,7/21/10,Yes,71.19,61.63
6/30/10,8/2/10,Trius Therapeutics Inc,Biopharmaceutical company,United States,TSRX,Nasdaq,50,50,5,Common Shares,86.3,Yes,,,,,,,15.6,67.8,117.8,2.28,8/2/10,Yes,-11.4,4.43
6/30/10,8/5/10,NuPathe Inc,Manufacture pharmaceuticals,United States,PATH,Nasdaq,50,50,10,Common Shares,86.3,Yes,,,,,,,13.1,95.5,145.5,2.77,8/5/10,Yes,-26.5,7.35
12/31/09,8/10/10,MediaMind Technologies Inc,Pvd online campaign mgt svcs,United States,MDMD,Nasdaq,57.5,57.5,11.5,Common Shares,115,Yes,65.1,,,,,,122.6,148.4,205.9,6.7,8/10/10,Yes,34.09,15.42
6/30/10,8/11/10,RealPage Inc,Dvlp property mgmt software,United States,RP,Nasdaq,135.3,135.3,11,Common Shares,150,Yes,,,,,,,142.1,615.6,685.4,1.12,8/11/10,Yes,149.64,27.46
9/30/10,9/30/10,The KEYW Holding Corp,Provide engineering services,United States,KEYW,Nasdaq,91,91,10,Common Shares,100,Yes,167.9,,,,,,138.5,155.1,237.9,7.36,9/30/10,Yes,23.9,12.39
10/2/10,10/14/10,Body Central Corp,"Retail apparel,accessories",United States,BODY,Nasdaq,65,65,13,Common Shares,86.3,Yes,229.5,,,,,,84.4,156.9,200.3,3.77,10/14/10,Yes,86.77,24.28
9/30/10,10/28/10,Horizon Technology Finance,Business Development Co,United States,HRZN,Nasdaq,100,100,16,Common Shares,125,Yes,0.3,,,,,,159.9,42.3,120.9,16.84,10/28/10,Yes,-0.25,15.96
9/30/10,11/10/10,Inphi Corp,"Mnfr,whl semiconductors",United States,IPHI,New York,81.6,81.6,12,Common Shares,115,Yes,79.2,,,,,,60.8,207,288.6,5.93,11/10/10,Yes,70.33,20.44
12/31/09,12/14/10,FleetCor Technologies Inc,Provide card payment services,United States,FLT,New York,291.525,291.5,23,Common Shares,500,Yes,354.1,,,,,,"1,209.50",,"1,810.50",7.95,12/14/10,Yes,30.48,30.01
12/31/09,12/14/10,GAIN Capital Holdings Inc,Pvd online trading services,United States,GCAP,New York,81,81,9,Common Shares,125,Yes,155.8,,,,,,381.9,276.7,280.3,4.81,12/14/10,Yes,-31.56,6.16
12/31/10,2/1/11,Epocrates Inc,Pvd med info retrieval svcs,United States,EPOC,Nasdaq,85.76,85.8,16,Common Shares,75,Yes,,,,,,,127.2,308.1,356.5,3.47,2/1/11,Yes,1.69,16.27
12/31/10,2/1/11,NeoPhotonics Corp,Mnfr integrated circuit,United States,NPTN,New York,82.5,82.5,11,Common Shares,115,Yes,184.1,,,,,,172.5,175.7,258.2,8.28,2/1/11,Yes,-33.27,7.34
12/31/10,2/11/11,AcelRx Pharmaceuticals Inc,Pharmaceutical company,United States,ACRX,Nasdaq,40,40,5,Common Shares,86.3,Yes,,,,,,,6.8,56.9,96.9,1.65,2/11/11,Yes,-28,3.6
12/31/10,3/24/11,ServiceSource International,"Pvd bus mgmt,consulting svcs",United States,SREV,Nasdaq,119.401,119.4,10,Common Shares,75,Yes,152.9,,,,,,104.3,575.1,655.1,2.29,3/24/11,Yes,28,12.8
3/31/11,4/14/11,Ellie Mae Inc,Dvlp mortgage mgmt software,United States,ELLI,NYSE Amex,45,45,6,Common Shares,86.3,Yes,45,,,,,,64,92.4,128.1,3.39,4/14/11,Yes,-12.67,5.24
3/31/11,4/20/11,Responsys Inc,Dvlp email mktg software,United States,MKTG,Nasdaq,79.436,79.4,12,Common Shares,60,Yes,104.8,,,,,,72.6,463.3,529.3,2.98,4/20/11,Yes,-8.5,10.98
3/31/11,5/3/11,Boingo Wireless Inc,Pvd wireless Internet svcs,United States,WIFI,Nasdaq,77.895,77.9,13.5,Common Shares,75,Yes,82.9,,,,,,127.3,361.2,439.1,3.8,5/3/11,Yes,-43.33,7.65
3/31/11,5/4/11,RPX Corp,Pvd intellectual ppty svcs,United States,RPXC,Nasdaq,160.178,160.2,19,Common Shares,100,Yes,111.1,,,,,,201.6,713.5,873.7,5.44,5/4/11,Yes,-18.11,15.56
3/31/11,5/10/11,Kosmos Energy Ltd,"Oil,gas exploration,prodn co",United States,KOS,New York,594,594,18,Common Shares,500,Yes,,,,,,,"1,837.30","6,141.20","6,762.50",2.37,5/10/11,Yes,-23.94,13.69
3/31/11,5/18/11,LinkedIn Corp,Pvd online networking services,United States,LNKD,New York,352.8,352.8,45,Class A Shares,175,Yes,292.3,,,,,,265.3,"4,035.20","4,305.40",4.14,5/18/11,Yes,66.36,74.86
3/31/11,5/26/11,Solazyme Inc,"Prod,whl renewable oil",United States,SZYM,Nasdaq,197.55,197.6,18,Common Shares,100,Yes,,,,,,,86.7,852.6,"1,039.30",4.58,5/26/11,Yes,-35.06,11.69
3/31/11,6/8/11,Fusion-io Inc,Dvlp storage memory software,United States,FIO,New York,233.7,233.7,19,Common Shares,150,Yes,136.4,,,,,,85.6,"1,244.70","1,478.40",3.53,6/8/11,Yes,53.79,29.22
3/31/11,6/23/11,KiOR Inc,Produce renewable fuels,United States,KIOR,Nasdaq,150,150,15,Class A Shares,,Yes,,,,,,,82.2,"1,364.70","1,514.70",2.42,6/23/11,Yes,-32.07,10.19
6/30/11,9/5/11,Parade Technologies Ltd,"Mnfr,whl semiconductors",United States,4966,Taiwan OTC,34.311,34.3,130,Ord/Common Shs.,,Yes,"1,847.10",,,,,,"1,173.50",194.8,234.2,39.03,,Yes,248.846,15.378
9/30/11,10/13/11,Ubiquiti Networks Inc,"Mnfr,whl communications equip",United States,UBNT,Nasdaq,105.573,105.6,15,Common Shares,200,Yes,243,,,,,,119,"1,310.20","1,361.90",0.83,10/13/11,Yes,116.13,32.42
3/28/10,11/15/11,InvenSense Inc,Dvlp motion sensing software,United States,INVN,New York,75,75,7.5,Common Shares,100,Yes,79.6,,,,,,54.5,519.9,594.9,,11/15/11,Yes,53.07,11.48
10/31/11,1/24/12,Guidewire Software Inc,Pvd core system software svcs,United States,,,115.05,115.1,13,Common Shares,,Yes,190.2,,,,,,80.7,520.6,652.9,3.16,1/24/12,Yes,96,25.48
12/31/11,2/1/12,Greenway Medical Tech Inc,Develop medical software,United States,GWAY,New York,66.667,66.7,10,Common Shares,100,Yes,,,,,,,56.8,221.1,285,3.35,2/1/12,Yes,36.6,13.66
12/31/11,2/8/12,FX Alliance Inc,Pvd electronic FX trading svcs,United States,FX,New York,62.4,62.4,12,Common Shares,100,Yes,118.2,,,,,,201.2,339.8,339.8,4.39,2/8/12,Yes,83.67,22.04
12/31/11,2/9/12,Synacor Inc,Dvlp Internet software,United States,SYNC,Nasdaq,34.091,34.1,5,Common Shares,75,Yes,91.1,,,,,,40.8,100.6,127.9,1.8,2/9/12,Yes,98.6,9.93
12/31/11,2/23/12,Proto Labs Inc,Mnfr prototype plastic parts,United States,PRLB,New York,68.8,68.8,16,Common Shares,100,Yes,98.9,,,,,,62.3,302.2,371,5.37,2/23/12,Yes,106.25,33
12/31/11,3/28/12,CafePress Inc,"Own,op e-commerce platform",United States,PRSS,Nasdaq,85.5,85.5,19,Common Shares,80,Yes,175.5,,,,,,86.9,275.1,322.6,1.53,3/28/12,Yes,-51.05,9.3
3/31/12,4/16/12,Puma Biotechnology Inc,Bio-pharmaceutical company,United States,PBYI,OTC,60,60,3.75,Common Shares,60,Yes,,,,,,,52.8,75.2,75.2,1.4,4/16/12,Yes,313.33,15.5
3/31/12,4/19/12,Proofpoint Inc,Dvlp email sec software,United States,PFPT,Nasdaq,82.282,82.3,13,Common Shares,50,Yes,,,,,,,64.7,318.9,395.6,1.18,4/19/12,Yes,4.85,13.63
3/31/12,4/30/12,Supernus Pharmaceuticals Inc,"Mnfr,whl pharmaceuticals",United States,SUPN,Nasdaq,50,50,5,Common Shares,100,Yes,1,,,,,,43.2,69.6,121.8,1.56,4/30/12,Yes,119,10.95
3/31/12,5/9/12,WageWorks Inc,Provide tax management svcs,United States,WAGE,New York,58.5,58.5,9,Common Shares,75,Yes,144.6,,,,,,369.1,173.1,240.4,4.67,5/9/12,Yes,100.44,18.04
3/31/12,5/17/12,Facebook Inc,Internet Service Providers,United States,FB,Nasdaq,"16,006.88",16006.9,38,Class A Shares,"5,000.00",Yes,"4,038",,,,,,"6,859.00","74,407.20","81,247.20",6.22,5/17/12,Yes,-41.16,22.36
3/31/12,6/27/12,Tesaro Inc,Mnfr pharm,United States,TSRO,Nasdaq,81,81,13.5,Common Shares,86.3,Yes,,,,,,,93,279.1,365.9,0.69,6/27/12,Yes,22.67,16.56
6/30/12,7/19/12,KAYAK Software Corp,Pvd online travel info svc,United States,KYAK,Nasdaq,91,91,26,Class A Shares,50,Yes,265.4,,,,,,299.1,888.5,993.1,9.88,7/19/12,Yes,55.65,40.47
4/30/12,7/19/12,Palo Alto Networks Inc,Computer Systems Design Services,United States,,,260.4,260.4,42,Common Shares,175,Yes,219.7,,,,,,166.5,"2,600.40","2,836.30",3.39,7/19/12,Yes,30.36,54.75
5/31/12,7/25/12,E2open Inc,Pvd software solution,United States,EOPN,Nasdaq,70.313,70.3,15,Common Shares,86.3,Yes,63.9,,,,,,29.7,317.7,373.9,0.8,7/25/12,Yes,19.53,17.93
6/30/12,8/2/12,Globus Medical Inc,"Mnfr medical device,instrument",United States,GMED,New York,100,100,12,Class A Shares,100,Yes,363,,,,,,367.3,"1,059.70","1,084.70",4.03,8/2/12,Yes,4.92,12.59
9/30/12,10/2/12,LifeLock Inc,Dvlp Internet software,United States,LOCK,New York,141.3,141.3,9,Common Shares,175,Yes,250.6,,,,,,284.1,610.9,750.4,2.64,10/2/12,Yes,2.67,9.24
9/30/12,11/15/12,Ruckus Wireless Inc,"Mnfr,whl Wi-Fi products",United States,RKUS,New York,126,126,15,Common Shares,100,Yes,193.5,,,,,,123.1,"1,000.30","1,105.30",2.31,11/15/12,Yes,-15.47,12.68
9/30/12,1/31/13,KaloBios Pharmaceuticals Inc,Mnfr antibody therapeutics,United States,KBIO,Nasdaq,70,70,8,Common Shares,60,Yes,11.9,,,,,,28.3,123,193,,1/31/13,Yes,-28.13,5.75
12/31/12,3/20/13,Enanta Pharmaceuticals Inc,Biotechnology company,United States,ENTA,Nasdaq,56,56,14,Common Shares,69,Yes,68.8,,,,,,72.5,179.7,244.1,6.79,3/20/13,Yes,52.79,21.39
3/31/13,6/25/13,Esperion Therapeutics Inc,Mnfr pharma,United States,ESPR,Nasdaq,70,70,14,Common Shares,70,Yes,,,,,,,5.3,134.1,214.6,,6/25/13,Yes,-0.57,13.92
6/30/13,7/18/13,RetailMeNot Inc,Provide ecommerce services,United States,SALE,Nasdaq,190.909,190.9,21,Common Shares,230,Yes,168.9,,,,,,379.3,958.9,"1,054.30",7.22,7/18/13,Yes,52.33,31.99
6/30/13,8/1/13,Control4 Corp,Mnfr wired automation prods,United States,CTRL,Nasdaq,64,64,16,Common Shares,60,Yes,118.4,,,,,,53.3,289.5,363.1,4.19,8/1/13,Yes,45.75,23.32
6/30/13,8/6/13,YuMe Inc,Pvd video advg tech services,United States,,,46.125,46.1,9,Common Shares,65,Yes,132.4,,,,,,83.2,240.1,286.2,3.12,8/6/13,Yes,-22.11,7.01
3/31/13,8/22/13,Regado Biosciences Inc,Biopharmaceutical company,United States,RGDO,Nasdaq,43,43,4,Common Shares,75,Yes,,,,,,,24.1,38.5,85.2,,8/22/13,Yes,60,6.4
6/30/13,9/18/13,Five Prime Therapeutics Inc,Mnfr pharmaceuticals,United States,FPRX,Nasdaq,62.4,62.4,13,Common Shares,60,Yes,12.3,,,,,,35.4,145.8,217.6,3.87,9/18/13,Yes,76.85,22.99
6/30/13,9/24/13,Ophthotech Corp,Biopharmaceutical company,United States,OPHT,Nasdaq,167.2,167.2,22,Common Shares,85,Yes,,,,,,,40.2,495.2,687.5,,9/24/13,Yes,58.64,34.9
6/30/13,9/30/13,Fate Therapeutics Inc,Biopharmaceutical company,United States,FATE,Nasdaq,40,40,6,Common Shares,69,Yes,1.9,,,,,,6.2,74.9,120.9,,9/30/13,Yes,62.33,9.74
9/30/13,10/1/13,RE/MAX Holdings Inc,Pvd RE brokerage services,United States,RMAX,New York,220,220,22,Class A Shares,100,Yes,152,,,,,,252,,222.4,23.94,10/1/13,Yes,31.05,28.83
9/29/13,10/3/13,Potbelly Corp,"Own,op restaurant chain",United States,PBPB,Nasdaq,105,105,14,Common Shares,75,Yes,298.5,,,,,,124,288.8,407.5,5.26,10/3/13,Yes,27.857,17.9
7/31/13,10/15/13,Veeva Systems Inc,"Dvlp CRM,content mgmt software",United States,VEEV,New York,260.9,260.9,20,Class A Shares,150,Yes,168,,,,,,112.6,"2,250.60","2,484.20",2.18,10/15/13,Yes,9.5,21.9
6/30/13,10/24/13,Aerie Pharmaceuticals Inc,Mnfr pharm,United States,,,67.2,67.2,10,Common Shares,57.5,Yes,,,,,,,3.7,10.2,87.5,,10/24/13,Yes,62.1,16.21
9/30/13,12/2/13,Xencor Inc,Mnfr antibodies prod,United States,XNCR,Nasdaq,70.015,70,5.5,Common Shares,69,Yes,10.9,,,,,,20.2,91.8,172.3,,12/2/13,Yes,57.27,8.65
9/30/13,12/11/13,Tetralogic,Mnfr pharm,United States,TLOG,Nasdaq,50.05,50.1,7,Common Shares,103.5,Yes,,,,,,,4.8,97.8,155.3,,12/11/13,Yes,-21.86,5.47
6/30/13,1/9/14,GlycoMimetics Inc,Mnfr glycomimetic drugs,United States,GLYC,Nasdaq,56,56,8,Common Shares,86.3,Yes,11.6,,,,,,11.6,84.4,148.8,,1/9/14,Yes,13.38,9.07
9/30/13,1/29/14,Celladon Corp,Biological Product (Except Diagnostic) Manufacturing,United States,CLDN,Nasdaq,44,44,8,Common Shares,86.3,Yes,,,,,,,24.6,96.3,146.9,,1/29/14,Yes,65.38,13.23
12/31/13,1/30/14,Cara Therapeutics Inc,Biotechnology company,United States,CARA,Nasdaq,55,55,11,Common Shares,60,Yes,12,,,,,,18.1,185.3,248.5,2.87,1/30/14,Yes,14.27,12.57
9/30/13,1/30/14,Ultragenyx Pharmaceutical Inc,Pharmaceutical Preparation Manufacturing,United States,,,120.968,121,21,Common Shares,86.3,Yes,,,,,,,68.6,489.3,628.4,,1/30/14,Yes,108.38,43.76
12/31/13,2/3/14,Acucela Inc,Biological Product (Except Diagnostic) Manufacturing,United States,4589,Mothers,163.812,163.8,"1,800.00",Ord/Common Shs.,144.4,Yes,"5,397.40",,,,,,"5,379.20",470.5,658.8,511.8,,Yes,-60.555,6.944
,2/5/14,Revance Therapeutics Inc,"Mnfr,whl skincare pharm",United States,RVNC,Nasdaq,96,96,16,Common Shares,86.3,Yes,,,,,,,,187.9,298.3,,2/5/14,Yes,82,29.12
12/31/13,2/11/14,Eagle,Pharmaceutical Preparation Manufacturing,United States,EGRX,Nasdaq,50.25,50.3,15,Common Shares,50,Yes,17.7,,,,,,18,158.5,210.3,3.19,2/11/14,Yes,-26.73,10.99
9/30/13,2/13/14,Inogen Inc,Mnfr respiratory equipment,United States,INGN,Nasdaq,70.588,70.6,16,Common Shares,86.3,Yes,69.5,,,,,,60.9,232.3,288.8,,2/13/14,Yes,18.94,19.03
9/30/13,2/20/14,Semler Scientific Inc,"Mnfr,whl medical equipment",United States,SMLR,Nasdaq,10.01,10,7,Common Shares,15,Yes,1.9,,,,,,2.4,22.9,33,,2/20/14,Yes,-49.29,3.55
12/31/13,4/2/14,Corium International Inc,Pharmaceutical Preparation Manufacturing,United States,CORI,Nasdaq,52,52,8,Common Shares,50,Yes,48.1,,,,,,39.5,88.9,143.9,,4/2/14,Yes,-23.25,6.14
3/31/14,4/3/14,GrubHub Inc,Pvd online food delivery svcs,United States,GRUB,New York,192.546,192.5,26,Common Shares,100,Yes,111.3,,,,,,795.7,"1,934.00","2,066.90",8.57,4/3/14,Yes,34.81,35.05
12/31/13,4/9/14,Adamas Pharmaceuticals Inc,Mnfr pharm,United States,ADMS,Nasdaq,48,48,16,Common Shares,69,Yes,71.1,,,,,,86.2,214.9,264.2,,4/9/14,Yes,-10.5,14.32
12/31/13,5/1/14,Aldeyra Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,ALDX,Nasdaq,12,12,8,Common Shares,20,Yes,,,,,,,3.7,31.8,43.8,,5/1/14,Yes,22,9.76
12/31/13,5/7/14,Alder BioPharmaceuticals Inc,Manufacture pharmaceuticals,United States,ALDR,Nasdaq,80,80,10,Common Shares,115,Yes,18.8,,,,,,26.7,219,299,,5/7/14,Yes,61.7,16.17
12/31/13,6/5/14,Radius Health Inc,Pharmaceutical Preparation Manufacturing,United States,RDUS,Nasdaq,52,52,8,Common Shares,86.3,Yes,,,,,,,12.8,179.5,235.6,,6/5/14,Yes,175.875,22.07
3/31/14,6/18/14,Ardelyx Inc,Pharmaceutical Preparation Manufacturing,United States,ARDX,Nasdaq,60.004,60,14,Common Shares,69,Yes,30.9,,,,,,40.5,190.4,259.4,,6/18/14,Yes,66.57,23.32
3/31/14,6/25/14,GoPro Inc,Photographic and Photocopying Equipment Manufacturing,United States,GPRO,Nasdaq,427.2,427.2,24,Class A Shares,100,Yes,966.4,,,,,,354,"2,741.80","3,019.50",0.38,6/25/14,Yes,156.42,61.54
6/30/14,7/16/14,CareDx Inc,Medical Laboratories,United States,CDNA,Nasdaq,40,40,10,Common Shares,50,Yes,24.4,,,,,,34,115.7,155.7,2.64,7/16/14,Yes,-28.2,7.18
3/31/14,7/17/14,SAGE Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,SAGE,Nasdaq,90,90,18,Common Shares,69,Yes,,,,,,,56.8,359.3,462.8,,7/17/14,Yes,122.33,40.02
3/31/14,7/23/14,Intersect ENT Inc,Surgical and Medical Instrument Manufacturing,United States,XENT,Nasdaq,55,55,11,Common Shares,80,Yes,22.7,,,,,,17,192.5,255.8,,7/23/14,Yes,93.55,21.29
3/31/14,7/24/14,Ocular Therapeutix Inc,Pharmaceutical Preparation Manufacturing,United States,OCUL,Nasdaq,65,65,13,Common Shares,86.3,Yes,,,,,,,15.1,202.4,277.2,,7/24/14,Yes,92.31,25
6/30/14,7/28/14,Spark Energy Inc,Other Electric Power Generation,United States,SPKE,Nasdaq,54,54,18,Class A Shares,92,Yes,325.8,,,,,,86.5,193.5,247.5,0.74,7/28/14,Yes,-16.83,14.97
6/30/14,9/16/14,Tokai Pharmaceuticals Inc,Manufacture pharmaceuticals,United States,TKAI,Nasdaq,97.2,97.2,15,Common Shares,75,Yes,,,,,,,23.4,230.4,335.7,,9/16/14,Yes,-9.27,13.61
6/30/14,10/1/14,Calithera Biosciences Inc,Pharmaceutical Preparation Manufacturing,United States,CALA,Nasdaq,80,80,10,Common Shares,80,Yes,,,,,,,30.7,98.8,178.8,,10/1/14,Yes,64.2,16.42
6/30/14,10/3/14,Dermira Inc,Mnfr dermatology pharm,United States,DERM,Nasdaq,125,125,16,Common Shares,75,Yes,,,,,,,16.5,184.2,309.2,,10/3/14,Yes,-6.19,15.01
9/30/14,10/9/14,Diplomat Pharmacy Inc,Pharmacies and Drug Stores,United States,DPLO,New York,173.333,173.3,13,Common Shares,100,Yes,"2,014.90",,,,,,322.7,521,677,3.15,10/9/14,Yes,160.85,33.91
3/31/14,10/15/14,Atara Biotherapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,ATRA,Nasdaq,55,55,11,Common Shares,50,Yes,,,,,,,63.2,158.4,221.7,,10/15/14,Yes,334.36,47.78
6/30/14,10/21/14,Proteon Therapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,PRTO,Nasdaq,61.1,61.1,10,Common Shares,69,Yes,,,,,,,27.1,88.8,159.1,,10/21/14,Yes,37.8,13.78
